Round,Current Utility,Optimal Utility
1,3.6,3.6
2,1.7999999999999998,2.5999999999999996
3,3.3,3.3
4,2.8000000000000003,2.8000000000000003
5,2.4000000000000004,2.9000000000000004
6,1.4,2.1
7,3.1,3.1
8,2.6,2.8
9,2.1999999999999997,2.5
10,3.4000000000000004,3.4000000000000004
11,1.9,2.3
12,3.0999999999999996,3.0999999999999996
13,3.0,3.6
14,2.6,2.6
15,1.3,1.9
16,1.9,2.0
17,2.5999999999999996,2.5999999999999996
18,2.7,2.8
19,2.6,2.7
20,2.3,2.4000000000000004
21,2.3,2.9000000000000004
22,3.4000000000000004,3.4000000000000004
23,1.7,1.9
24,2.6,2.6
25,2.5999999999999996,2.5999999999999996
26,2.1,2.1
27,1.4999999999999998,2.0
28,2.3,2.7
29,2.0,3.7
30,2.6,3.5
31,3.3,3.9
32,2.7,2.7
33,1.4000000000000001,1.4000000000000001
34,2.0,2.5
35,2.2,2.3
36,0.7999999999999999,3.2
37,2.2,2.6
38,2.7,2.7
39,2.3,2.3
40,1.9,2.3
41,1.2000000000000002,1.6
42,1.7,2.2
43,1.6,2.2
44,2.6,2.8
45,3.1,3.3
46,2.1,2.1
47,2.7,2.9
48,2.4,2.4
49,2.1999999999999997,2.3
50,1.1,2.5
